WBS,Unique_ID,Name,Task_Summary_Name,Duration,Actual_Start,Actual_Finish,Resource_Names,Baseline_Start,Baseline_Finish,Actual_Duration,Actual_Work,ID,Unique_ID_Predecessors,Unique_ID_Successors,Milestone
4.5.3,387,<Test Group #3>,Test Implementation,3 days,NA,NA,,NA,NA,0 days,0 hrs,54,,,No
4.5.3.1,388,Write Code,<Test Group #3>,1 day,NA,NA,,NA,NA,0 days,0 hrs,55,377,389,No
4.5.3.2,389,Compile,<Test Group #3>,1 day,NA,NA,,NA,NA,0 days,0 hrs,56,388,390,No
4.5.3.3,390,Offline Debug,<Test Group #3>,1 day,NA,NA,,NA,NA,0 days,0 hrs,57,389,,No
4.6,391,Verification Plan,Phase 3: Development,2 days,NA,NA,,NA,NA,0 days,0 hrs,58,,,No
4.6.1,392,Verification plan creation,Verification Plan,1 day,NA,NA,,NA,NA,0 days,0 hrs,59,"378,418,419,420",393,No
4.6.2,393,Verification plan revise based on feedback & final approval,Verification Plan,1 day,NA,NA,,NA,NA,0 days,0 hrs,60,"392,418,419,420",395,No
4.7,394,Functional Verification (Ready For Use By Others),Phase 3: Development,2 days,NA,NA,,NA,NA,0 days,0 hrs,61,,227,No
4.7.1,395,Offline Verification execution,Functional Verification (Ready For Use By Others),1 day,NA,NA,,NA,NA,0 days,0 hrs,62,393,396,No
4.7.2,396,Partial Online Verification execution,Functional Verification (Ready For Use By Others),1 day,NA,NA,,NA,NA,0 days,0 hrs,63,395,399,No
5,397,Phase 4 Verification,,13 days?,NA,NA,,NA,NA,0 days,0 hrs,64,,,No
5.1,398,Test Validation,Phase 4 Verification,7 days,NA,NA,,NA,NA,0 days,0 hrs,65,,228,No
5.1.1,399,Full Online Verification Execution,Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,66,396,400,No
5.1.2,400,Bug Fix,Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,67,399,401,No
5.1.3,401,Data collection & Analysis,Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,68,400,402,No
5.1.4,402,Independent Verification (Alpha) <If Needed>,Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,69,401,403,No
5.1.5,403,Bug Fix (Alpha),Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,70,402,404,No
5.1.6,404,Results review,Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,71,403,"231,405",No
5.1.7,405,Revise with additional data based on feedback & final approval,Test Validation,1 day,NA,NA,,NA,NA,0 days,0 hrs,72,404,"407,411",No
5.2,406,Transfer,Phase 4 Verification,3 days,NA,NA,,NA,NA,0 days,0 hrs,73,,,No
5.2.1,407,Devvelop Training Material,Transfer,1 day,NA,NA,,NA,NA,0 days,0 hrs,74,405,408,No
5.2.2,408,Hold Transfer Meeting,Transfer,1 day,NA,NA,,NA,NA,0 days,0 hrs,75,407,409,No
5.2.3,409,Signoff on Transfer Criteria,Transfer,1 day,NA,NA,,NA,NA,0 days,0 hrs,76,408,,No
5.3,410,Release,Phase 4 Verification,4 days,NA,NA,,NA,NA,0 days,0 hrs,77,,,No
5.3.1,411,Beta Test (Cutsomer verification) <If Needed>,Release,1 day,NA,NA,,NA,NA,0 days,0 hrs,78,405,412,No
5.3.2,412,Bug fix (Beta),Release,1 day,NA,NA,,NA,NA,0 days,0 hrs,79,411,413,No
5.3.3,413,Final review,Release,1 day,NA,NA,,NA,NA,0 days,0 hrs,80,412,"232,414",No
5.3.4,414,Post Kit and Archive Project Docs,Release,1 day,NA,NA,,NA,NA,0 days,0 hrs,81,413,"229,415",No
5.4,415,Buffer,Phase 4 Verification,1 day,NA,NA,,NA,NA,0 days,0 hrs,82,414,416,No
5.5,416,Project Complete,Phase 4 Verification,1 day?,NA,NA,,NA,NA,0 days,0 hrs,83,415,,No
